B,128.5,26.4,30.9
Pg,128.4,25.7,20
Gn,128.5,27.6,14.8
Me,128.5,32.8,11.8
Cr-R,75.8,72.3,80.1
SIG-R,75.7,92,65.9
Cr-L,179.6,73.3,80.3
SIG-L,180.1,92.7,65.9
Co-R,69.6,117.9,77.1
Co-L,185.6,118.6,77.6
RMA-R,83.3,71.6,54.2
RP-R,77.6,110,50.5
Gos-R,81.6,107.8,35.6
Go-R,80.7,102,27.4
Goi-R,79,92.1,23.1
Ag-R,83.7,85,23.2
RMA-L,172.8,72.3,54.8
RP-L,177.9,110.7,50.7
Gos-L,174.3,108.3,35.6
Go-L,175.3,103.1,28.3
Goi-L,176.8,93.4,23.3
Ag-L,171.8,86,23.2
L0,128.3,23,47.6
L1E-R,124.7,22.8,48.2
L1E-L,132.1,22.7,48.2
L2E-R,118.9,24.8,47
L2E-L,138.1,24.6,47
L3T-R,112.7,28.9,47.3
L3T-L,143.6,28.7,47.5
L34Embr-R,111.4,33.2,46
L34Embr-L,145,33.5,46
L4BC-R,108.6,36.1,46.4
L4BC-L,147.8,36.7,46.5
L5BC-R,105.2,43.1,46.8
L5BC-L,151.3,43.6,46.8
L6MBC-R,102.8,50.2,47.8
L6MBC-L,153.6,50.4,47.9
L6DBC-R,100.8,55,47.3
L6DBC-L,156.6,55.2,47.3
L7MBC-R,97.3,62,46.4
L7MBC-L,159.5,62.9,46.4
L7DBC-R,95.3,67.1,45.9
L7DBC-L,161,68.2,45.8
