Gb',128.8,23.7,134.3
N',128.4,23.5,123.2
En-R,108.9,33.1,107.1
En-L,147.8,33.9,106.7
Ex-R,67.2,44.8,108.9
Ex-L,189.3,46.5,109
Mf-R,120.5,26.3,108.6
Mf-L,136.4,26.8,108.5
OR'-R,94.2,26.3,94.9
OR'-L,161.8,27.2,95.2
Prn,128.4,5.4,83.7
AL-R,105.1,24.4,77.1
AL-L,151.1,25,76.9
Ac-R,109.3,21.6,72.6
Ac-L,147.6,22.2,72.7
Zy'-R,46.8,70.7,85.3
Zy'-L,209,74.4,85.2
CM,128.4,8.7,75.3
Nt-R,124.4,18.1,72.3
Nt-L,132.2,17.5,72.2
Nb-R,121.2,11.8,75.5
Nb-L,135.7,12,75.6
Sn,128.2,15.5,70.6
A',128.2,12.7,66.9
Ss,128,9.8,61.8
Ls,127.9,7.1,57.1
Cph-R,120.8,8.3,57.5
Cph-L,134.6,8.1,57.3
Stm-U,128.1,10.8,50.9
Stm-L,128.2,12.5,48.4
Ch-R,100.7,22,47.5
Ch-L,156.1,22.7,47.5
Li,128.2,9.8,43.4
Sl,128,13.6,35.4
B',128,13.6,32.3
Pog',128.4,13.9,21.8
Gn',128.1,17.5,11.6
Me',128,26.3,7.1
Go'-R,53.6,101.8,26.9
Go'-L,202,103.9,28.8
